level_1_factor,level_2_factor,level_3_factor,book_id,title,genre
4,4,0,2,Book 2,Unknown
4,4,0,3,Book 3,Unknown
3,4,0,4,Book 4,Unknown
4,4,0,5,Book 5,Unknown
4,4,0,6,Book 6,Unknown
4,4,0,7,Book 7,Unknown
4,4,0,8,Book 8,Unknown
4,4,0,9,Book 9,Unknown
4,4,0,10,Book 10,Unknown
4,4,0,11,Book 11,Unknown
4,4,0,12,Book 12,Unknown
4,4,0,13,Book 13,Unknown
4,4,0,14,Book 14,Unknown
4,4,0,15,Book 15,Unknown
4,4,0,16,Book 16,Unknown
2,4,0,17,Book 17,Unknown
4,4,0,18,Book 18,Unknown
4,4,0,19,Book 19,Unknown
4,4,0,20,Book 20,Unknown
4,4,0,21,Book 21,Unknown
4,4,0,22,Book 22,Unknown
4,4,0,23,Book 23,Unknown
4,4,0,24,Book 24,Unknown
4,4,0,25,Book 25,Unknown
4,4,0,26,Book 26,Unknown
4,4,0,27,Book 27,Unknown
2,4,0,28,Book 28,Unknown
4,4,0,29,Book 29,Unknown
4,4,0,30,Book 30,Unknown
4,4,0,31,Book 31,Unknown
4,4,0,32,Book 32,Unknown
4,4,0,33,Book 33,Unknown
4,4,0,34,Book 34,Unknown
4,4,0,35,Book 35,Unknown
3,4,0,36,Book 36,Unknown
4,4,0,37,Book 37,Unknown
4,4,0,38,Book 38,Unknown
4,4,0,39,Book 39,Unknown
4,4,0,40,Book 40,Unknown
4,4,0,41,Book 41,Unknown
4,4,0,42,Book 42,Unknown
4,4,0,43,Book 43,Unknown
4,4,0,44,Book 44,Unknown
4,4,0,45,Book 45,Unknown
4,4,0,46,Book 46,Unknown
4,4,0,47,Book 47,Unknown
4,4,0,48,Book 48,Unknown
4,4,0,49,Book 49,Unknown
4,4,0,50,Book 50,Unknown
2,4,0,51,Book 51,Unknown
2,4,0,52,Book 52,Unknown
4,4,0,53,Book 53,Unknown
4,4,0,54,Book 54,Unknown
4,4,0,55,Book 55,Unknown
4,4,0,56,Book 56,Unknown
4,4,0,57,Book 57,Unknown
4,4,0,58,Book 58,Unknown
4,4,0,59,Book 59,Unknown
4,4,0,60,Book 60,Unknown
4,4,0,61,Book 61,Unknown
4,4,0,62,Book 62,Unknown
4,4,0,63,Book 63,Unknown
2,4,0,64,Book 64,Unknown
7,4,0,65,Book 65,Unknown
4,4,0,66,Book 66,Unknown
4,4,0,67,Book 67,Unknown
4,4,0,68,Book 68,Unknown
4,4,0,69,Book 69,Unknown
4,4,0,70,Book 70,Unknown
4,4,0,71,Book 71,Unknown
4,4,0,72,Book 72,Unknown
4,4,0,73,Book 73,Unknown
4,4,0,74,Book 74,Unknown
4,4,0,75,Book 75,Unknown
4,4,0,76,Book 76,Unknown
4,4,0,77,Book 77,Unknown
4,4,0,78,Book 78,Unknown
4,4,0,79,Book 79,Unknown
4,4,0,80,Book 80,Unknown
4,4,0,81,Book 81,Unknown
4,4,0,82,Book 82,Unknown
4,4,0,83,Book 83,Unknown
4,4,0,84,Book 84,Unknown
4,4,0,85,Book 85,Unknown
4,4,0,86,Book 86,Unknown
4,4,0,87,Book 87,Unknown
4,4,0,88,Book 88,Unknown
4,4,0,89,Book 89,Unknown
4,4,0,90,Book 90,Unknown
4,4,0,91,Book 91,Unknown
4,4,0,92,Book 92,Unknown
4,4,0,93,Book 93,Unknown
4,4,0,94,Book 94,Unknown
4,4,0,95,Book 95,Unknown
4,4,0,96,Book 96,Unknown
4,4,0,97,Book 97,Unknown
4,4,0,98,Book 98,Unknown
4,4,0,99,Book 99,Unknown
4,4,0,100,Book 100,Unknown
4,4,0,101,Book 101,Unknown
3,4,0,102,Book 102,Unknown
4,4,0,103,Book 103,Unknown
4,4,0,104,Book 104,Unknown
4,4,0,105,Book 105,Unknown
4,4,0,106,Book 106,Unknown
4,4,0,107,Book 107,Unknown
4,4,0,108,Book 108,Unknown
4,4,0,109,Book 109,Unknown
4,4,0,110,Book 110,Unknown
4,4,0,111,Book 111,Unknown
4,4,0,112,Book 112,Unknown
4,4,0,113,Book 113,Unknown
4,4,0,114,Book 114,Unknown
4,4,0,115,Book 115,Unknown
4,4,0,116,Book 116,Unknown
4,4,0,117,Book 117,Unknown
4,4,0,118,Book 118,Unknown
4,4,0,119,Book 119,Unknown
6,4,0,120,Book 120,Unknown
4,4,0,121,Book 121,Unknown
4,4,0,122,Book 122,Unknown
4,4,0,123,Book 123,Unknown
4,4,0,124,Book 124,Unknown
4,4,0,125,Book 125,Unknown
4,4,0,126,Book 126,Unknown
4,4,0,127,Book 127,Unknown
4,4,0,128,Book 128,Unknown
4,4,0,129,Book 129,Unknown
4,4,0,130,Book 130,Unknown
4,4,0,131,Book 131,Unknown
4,4,0,132,Book 132,Unknown
4,4,0,133,Book 133,Unknown
4,4,0,134,Book 134,Unknown
4,4,0,135,Book 135,Unknown
4,4,0,136,Book 136,Unknown
4,4,0,137,Book 137,Unknown
4,4,0,138,Book 138,Unknown
4,4,0,139,Book 139,Unknown
4,4,0,140,Book 140,Unknown
4,4,0,141,Book 141,Unknown
4,4,0,142,Book 142,Unknown
4,4,0,143,Book 143,Unknown
4,4,0,144,Book 144,Unknown
4,4,0,145,Book 145,Unknown
4,4,0,146,Book 146,Unknown
4,4,0,147,Book 147,Unknown
4,4,0,148,Book 148,Unknown
4,4,0,149,Book 149,Unknown
4,4,0,150,Book 150,Unknown
4,4,0,151,Book 151,Unknown
4,4,0,152,Book 152,Unknown
4,4,0,153,Book 153,Unknown
4,4,0,154,Book 154,Unknown
4,4,0,155,Book 155,Unknown
4,4,0,156,Book 156,Unknown
4,4,0,157,Book 157,Unknown
4,4,0,158,Book 158,Unknown
4,4,0,159,Book 159,Unknown
4,4,0,160,Book 160,Unknown
4,4,0,161,Book 161,Unknown
4,4,0,162,Book 162,Unknown
4,4,0,163,Book 163,Unknown
4,4,0,164,Book 164,Unknown
4,4,0,165,Book 165,Unknown
4,4,0,166,Book 166,Unknown
4,4,0,167,Book 167,Unknown
4,4,0,168,Book 168,Unknown
4,4,0,169,Book 169,Unknown
4,4,0,170,Book 170,Unknown
4,4,0,171,Book 171,Unknown
4,4,0,172,Book 172,Unknown
4,4,0,173,Book 173,Unknown
4,4,0,174,Book 174,Unknown
4,4,0,175,Book 175,Unknown
4,4,0,176,Book 176,Unknown
4,4,0,177,Book 177,Unknown
4,4,0,178,Book 178,Unknown
4,4,0,179,Book 179,Unknown
4,4,0,180,Book 180,Unknown
4,4,0,181,Book 181,Unknown
4,4,0,182,Book 182,Unknown
4,4,0,183,Book 183,Unknown
4,4,0,184,Book 184,Unknown
4,4,0,185,Book 185,Unknown
4,4,0,186,Book 186,Unknown
4,4,0,187,Book 187,Unknown
4,4,0,188,Book 188,Unknown
4,4,0,189,Book 189,Unknown
4,4,0,190,Book 190,Unknown
4,4,0,191,Book 191,Unknown
4,4,0,192,Book 192,Unknown
4,4,0,193,Book 193,Unknown
4,4,0,194,Book 194,Unknown
4,4,0,195,Book 195,Unknown
4,4,0,196,Book 196,Unknown
4,4,0,197,Book 197,Unknown
4,4,0,198,Book 198,Unknown
4,4,0,199,Book 199,Unknown
4,4,0,200,Book 200,Unknown
4,4,0,201,Book 201,Unknown
4,4,0,202,Book 202,Unknown
4,4,0,203,Book 203,Unknown
4,4,0,204,Book 204,Unknown
4,4,0,205,Book 205,Unknown
4,4,0,206,Book 206,Unknown
4,4,0,207,Book 207,Unknown
4,4,0,208,Book 208,Unknown
4,4,0,209,Book 209,Unknown
4,4,0,210,Book 210,Unknown
4,4,0,211,Book 211,Unknown
4,4,0,212,Book 212,Unknown
4,4,0,213,Book 213,Unknown
4,4,0,214,Book 214,Unknown
4,4,0,215,Book 215,Unknown
4,4,0,216,Book 216,Unknown
4,4,0,217,Book 217,Unknown
7,4,0,218,Book 218,Unknown
4,4,0,219,Book 219,Unknown
4,4,0,220,Book 220,Unknown
4,4,0,221,Book 221,Unknown
4,4,0,222,Book 222,Unknown
4,4,0,223,Book 223,Unknown
4,4,0,224,Book 224,Unknown
4,4,0,225,Book 225,Unknown
4,4,0,226,Book 226,Unknown
4,4,0,227,Book 227,Unknown
4,4,0,228,Book 228,Unknown
4,4,0,229,Book 229,Unknown
4,4,0,230,Book 230,Unknown
4,4,0,231,Book 231,Unknown
4,4,0,232,Book 232,Unknown
4,4,0,233,Book 233,Unknown
4,4,0,234,Book 234,Unknown
4,4,0,235,Book 235,Unknown
4,4,0,236,Book 236,Unknown
4,4,0,237,Book 237,Unknown
4,4,0,238,Book 238,Unknown
4,4,0,239,Book 239,Unknown
4,4,0,240,Book 240,Unknown
4,4,0,241,Book 241,Unknown
4,4,0,242,Book 242,Unknown
4,4,0,243,Book 243,Unknown
4,4,0,244,Book 244,Unknown
4,4,0,245,Book 245,Unknown
4,4,0,246,Book 246,Unknown
4,4,0,247,Book 247,Unknown
4,4,0,248,Book 248,Unknown
4,4,0,249,Book 249,Unknown
4,4,0,250,Book 250,Unknown
4,4,0,251,Book 251,Unknown
4,4,0,252,Book 252,Unknown
4,4,0,253,Book 253,Unknown
4,4,0,254,Book 254,Unknown
4,4,0,255,Book 255,Unknown
4,4,0,256,Book 256,Unknown
4,4,0,257,Book 257,Unknown
4,4,0,258,Book 258,Unknown
4,4,0,259,Book 259,Unknown
4,4,0,260,Book 260,Unknown
4,4,0,261,Book 261,Unknown
4,4,0,262,Book 262,Unknown
4,4,0,263,Book 263,Unknown
4,4,0,264,Book 264,Unknown
4,4,0,265,Book 265,Unknown
4,4,0,266,Book 266,Unknown
4,4,0,267,Book 267,Unknown
4,4,0,268,Book 268,Unknown
4,4,0,269,Book 269,Unknown
4,4,0,270,Book 270,Unknown
4,4,0,271,Book 271,Unknown
4,4,0,272,Book 272,Unknown
4,4,0,273,Book 273,Unknown
4,4,0,274,Book 274,Unknown
4,4,0,275,Book 275,Unknown
4,4,0,276,Book 276,Unknown
4,4,0,277,Book 277,Unknown
4,4,0,278,Book 278,Unknown
4,4,0,279,Book 279,Unknown
4,4,0,280,Book 280,Unknown
4,4,0,281,Book 281,Unknown
4,4,0,282,Book 282,Unknown
4,4,0,283,Book 283,Unknown
4,4,0,284,Book 284,Unknown
4,4,0,285,Book 285,Unknown
4,4,0,286,Book 286,Unknown
4,4,0,287,Book 287,Unknown
4,4,0,288,Book 288,Unknown
4,4,0,289,Book 289,Unknown
4,4,0,290,Book 290,Unknown
4,4,0,291,Book 291,Unknown
4,4,0,292,Book 292,Unknown
4,4,0,293,Book 293,Unknown
4,4,0,294,Book 294,Unknown
4,4,0,295,Book 295,Unknown
4,4,0,296,Book 296,Unknown
4,4,0,297,Book 297,Unknown
4,4,0,298,Book 298,Unknown
4,4,0,299,Book 299,Unknown
4,4,0,300,Book 300,Unknown
4,4,0,301,Book 301,Unknown
4,4,0,302,Book 302,Unknown
4,4,0,303,Book 303,Unknown
4,4,0,304,Book 304,Unknown
4,4,0,305,Book 305,Unknown
4,4,0,306,Book 306,Unknown
4,4,0,307,Book 307,Unknown
4,4,0,308,Book 308,Unknown
4,4,0,309,Book 309,Unknown
4,4,0,310,Book 310,Unknown
4,4,0,311,Book 311,Unknown
4,4,0,312,Book 312,Unknown
4,4,0,313,Book 313,Unknown
3,4,0,314,Book 314,Unknown
4,4,0,315,Book 315,Unknown
4,4,0,316,Book 316,Unknown
4,4,0,317,Book 317,Unknown
4,4,0,318,Book 318,Unknown
4,4,0,319,Book 319,Unknown
4,4,0,320,Book 320,Unknown
4,4,0,321,Book 321,Unknown
4,4,0,322,Book 322,Unknown
4,4,0,323,Book 323,Unknown
4,4,0,324,Book 324,Unknown
4,4,0,325,Book 325,Unknown
4,4,0,326,Book 326,Unknown
4,4,0,327,Book 327,Unknown
4,4,0,328,Book 328,Unknown
4,4,0,329,Book 329,Unknown
4,4,0,330,Book 330,Unknown
4,4,0,331,Book 331,Unknown
4,4,0,332,Book 332,Unknown
4,4,0,333,Book 333,Unknown
4,4,0,334,Book 334,Unknown
4,4,0,335,Book 335,Unknown
4,4,0,336,Book 336,Unknown
4,4,0,337,Book 337,Unknown
4,4,0,338,Book 338,Unknown
4,4,0,339,Book 339,Unknown
4,4,0,340,Book 340,Unknown
4,4,0,341,Book 341,Unknown
4,4,0,342,Book 342,Unknown
4,4,0,343,Book 343,Unknown
4,4,0,344,Book 344,Unknown
4,4,0,345,Book 345,Unknown
4,4,0,346,Book 346,Unknown
4,4,0,347,Book 347,Unknown
4,4,0,348,Book 348,Unknown
4,4,0,349,Book 349,Unknown
4,4,0,350,Book 350,Unknown
4,4,0,351,Book 351,Unknown
4,4,0,352,Book 352,Unknown
4,4,0,353,Book 353,Unknown
4,4,0,354,Book 354,Unknown
4,4,0,355,Book 355,Unknown
4,4,0,356,Book 356,Unknown
4,4,0,357,Book 357,Unknown
4,4,0,358,Book 358,Unknown
4,4,0,359,Book 359,Unknown
4,4,0,360,Book 360,Unknown
4,4,0,361,Book 361,Unknown
4,4,0,362,Book 362,Unknown
4,4,0,363,Book 363,Unknown
4,4,0,364,Book 364,Unknown
4,4,0,365,Book 365,Unknown
4,4,0,366,Book 366,Unknown
4,4,0,367,Book 367,Unknown
4,4,0,368,Book 368,Unknown
4,4,0,369,Book 369,Unknown
4,4,0,370,Book 370,Unknown
4,4,0,371,Book 371,Unknown
4,4,0,372,Book 372,Unknown
4,4,0,373,Book 373,Unknown
4,4,0,374,Book 374,Unknown
4,4,0,375,Book 375,Unknown
4,4,0,376,Book 376,Unknown
4,4,0,377,Book 377,Unknown
4,4,0,378,Book 378,Unknown
4,4,0,379,Book 379,Unknown
4,4,0,380,Book 380,Unknown
4,4,0,381,Book 381,Unknown
4,4,0,382,Book 382,Unknown
4,4,0,383,Book 383,Unknown
4,4,0,384,Book 384,Unknown
4,4,0,385,Book 385,Unknown
4,4,0,386,Book 386,Unknown
4,4,0,387,Book 387,Unknown
4,4,0,388,Book 388,Unknown
4,4,0,389,Book 389,Unknown
4,4,0,390,Book 390,Unknown
4,4,0,391,Book 391,Unknown
4,4,0,392,Book 392,Unknown
4,4,0,393,Book 393,Unknown
4,4,0,394,Book 394,Unknown
4,4,0,395,Book 395,Unknown
4,4,0,396,Book 396,Unknown
4,4,0,397,Book 397,Unknown
4,4,0,398,Book 398,Unknown
4,4,0,399,Book 399,Unknown
4,4,0,400,Book 400,Unknown
4,4,0,401,Book 401,Unknown
4,4,0,402,Book 402,Unknown
4,4,0,403,Book 403,Unknown
4,4,0,404,Book 404,Unknown
4,4,0,405,Book 405,Unknown
4,4,0,406,Book 406,Unknown
4,4,0,407,Book 407,Unknown
4,4,0,408,Book 408,Unknown
4,4,0,409,Book 409,Unknown
4,4,0,410,Book 410,Unknown
4,4,0,411,Book 411,Unknown
4,4,0,412,Book 412,Unknown
4,4,0,413,Book 413,Unknown
4,4,0,414,Book 414,Unknown
4,4,0,415,Book 415,Unknown
4,4,0,416,Book 416,Unknown
4,4,0,417,Book 417,Unknown
4,4,0,418,Book 418,Unknown
4,4,0,419,Book 419,Unknown
4,4,0,420,Book 420,Unknown
4,4,0,421,Book 421,Unknown
4,4,0,422,Book 422,Unknown
4,4,0,423,Book 423,Unknown
4,4,0,424,Book 424,Unknown
4,4,0,425,Book 425,Unknown
4,4,0,426,Book 426,Unknown
4,4,0,427,Book 427,Unknown
4,4,0,428,Book 428,Unknown
4,4,0,429,Book 429,Unknown
4,4,0,430,Book 430,Unknown
4,4,0,431,Book 431,Unknown
4,4,0,432,Book 432,Unknown
4,4,0,433,Book 433,Unknown
4,4,0,434,Book 434,Unknown
4,4,0,435,Book 435,Unknown
4,4,0,436,Book 436,Unknown
4,4,0,437,Book 437,Unknown
4,4,0,438,Book 438,Unknown
4,4,0,439,Book 439,Unknown
4,4,0,440,Book 440,Unknown
4,4,0,441,Book 441,Unknown
4,4,0,442,Book 442,Unknown
4,4,0,443,Book 443,Unknown
4,4,0,444,Book 444,Unknown
4,4,0,445,Book 445,Unknown
4,4,0,446,Book 446,Unknown
4,4,0,447,Book 447,Unknown
4,4,0,448,Book 448,Unknown
4,4,0,449,Book 449,Unknown
4,4,0,450,Book 450,Unknown
4,4,0,451,Book 451,Unknown
4,4,0,452,Book 452,Unknown
4,4,0,453,Book 453,Unknown
4,4,0,454,Book 454,Unknown
4,4,0,455,Book 455,Unknown
4,4,0,456,Book 456,Unknown
4,4,0,457,Book 457,Unknown
4,4,0,458,Book 458,Unknown
4,4,0,459,Book 459,Unknown
4,4,0,460,Book 460,Unknown
4,4,0,461,Book 461,Unknown
4,4,0,462,Book 462,Unknown
4,4,0,463,Book 463,Unknown
4,4,0,464,Book 464,Unknown
4,4,0,465,Book 465,Unknown
4,4,0,466,Book 466,Unknown
4,4,0,467,Book 467,Unknown
4,4,0,468,Book 468,Unknown
4,4,0,469,Book 469,Unknown
4,4,0,470,Book 470,Unknown
4,4,0,471,Book 471,Unknown
4,4,0,472,Book 472,Unknown
4,4,0,473,Book 473,Unknown
4,4,0,474,Book 474,Unknown
4,4,0,475,Book 475,Unknown
4,4,0,476,Book 476,Unknown
4,4,0,477,Book 477,Unknown
4,4,0,478,Book 478,Unknown
4,4,0,479,Book 479,Unknown
4,4,0,480,Book 480,Unknown
4,4,0,481,Book 481,Unknown
4,4,0,482,Book 482,Unknown
4,4,0,483,Book 483,Unknown
4,4,0,484,Book 484,Unknown
4,4,0,485,Book 485,Unknown
4,4,0,486,Book 486,Unknown
4,4,0,487,Book 487,Unknown
4,4,0,488,Book 488,Unknown
4,4,0,489,Book 489,Unknown
4,4,0,490,Book 490,Unknown
4,4,0,491,Book 491,Unknown
4,4,0,492,Book 492,Unknown
4,4,0,493,Book 493,Unknown
4,4,0,494,Book 494,Unknown
4,4,0,495,Book 495,Unknown
4,4,0,496,Book 496,Unknown
4,4,0,497,Book 497,Unknown
4,4,0,498,Book 498,Unknown
4,4,0,499,Book 499,Unknown
4,4,0,500,Book 500,Unknown
4,4,0,501,Book 501,Unknown
4,4,0,502,Book 502,Unknown
4,4,0,503,Book 503,Unknown
4,4,0,504,Book 504,Unknown
4,4,0,505,Book 505,Unknown
4,4,0,506,Book 506,Unknown
4,4,0,507,Book 507,Unknown
4,4,0,508,Book 508,Unknown
4,4,0,509,Book 509,Unknown
4,4,0,510,Book 510,Unknown
4,4,0,511,Book 511,Unknown
4,4,0,512,Book 512,Unknown
4,4,0,513,Book 513,Unknown
4,4,0,514,Book 514,Unknown
4,4,0,515,Book 515,Unknown
4,4,0,516,Book 516,Unknown
4,4,0,517,Book 517,Unknown
4,4,0,518,Book 518,Unknown
4,4,0,519,Book 519,Unknown
4,4,0,520,Book 520,Unknown
4,4,0,521,Book 521,Unknown
4,4,0,522,Book 522,Unknown
4,4,0,523,Book 523,Unknown
4,4,0,524,Book 524,Unknown
4,4,0,525,Book 525,Unknown
4,4,0,526,Book 526,Unknown
4,4,0,527,Book 527,Unknown
4,4,0,528,Book 528,Unknown
4,4,0,529,Book 529,Unknown
4,4,0,530,Book 530,Unknown
4,4,0,531,Book 531,Unknown
4,4,0,532,Book 532,Unknown
4,4,0,533,Book 533,Unknown
4,4,0,534,Book 534,Unknown
4,4,0,535,Book 535,Unknown
4,4,0,536,Book 536,Unknown
4,4,0,537,Book 537,Unknown
6,4,0,538,Book 538,Unknown
4,4,0,539,Book 539,Unknown
4,4,0,540,Book 540,Unknown
4,4,0,541,Book 541,Unknown
4,4,0,542,Book 542,Unknown
4,4,0,543,Book 543,Unknown
4,4,0,544,Book 544,Unknown
4,4,0,545,Book 545,Unknown
4,4,0,546,Book 546,Unknown
4,4,0,547,Book 547,Unknown
4,4,0,548,Book 548,Unknown
4,4,0,549,Book 549,Unknown
4,4,0,550,Book 550,Unknown
4,4,0,551,Book 551,Unknown
4,4,0,552,Book 552,Unknown
4,4,0,553,Book 553,Unknown
4,4,0,554,Book 554,Unknown
4,4,0,555,Book 555,Unknown
4,4,0,556,Book 556,Unknown
4,4,0,557,Book 557,Unknown
4,4,0,558,Book 558,Unknown
4,4,0,559,Book 559,Unknown
4,4,0,560,Book 560,Unknown
4,4,0,561,Book 561,Unknown
4,4,0,562,Book 562,Unknown
4,4,0,563,Book 563,Unknown
4,4,0,564,Book 564,Unknown
4,4,0,565,Book 565,Unknown
4,4,0,566,Book 566,Unknown
4,4,0,567,Book 567,Unknown
4,4,0,568,Book 568,Unknown
4,4,0,569,Book 569,Unknown
4,4,0,570,Book 570,Unknown
4,4,0,571,Book 571,Unknown
4,4,0,572,Book 572,Unknown
4,4,0,573,Book 573,Unknown
4,4,0,574,Book 574,Unknown
4,4,0,575,Book 575,Unknown
4,4,0,576,Book 576,Unknown
4,4,0,577,Book 577,Unknown
4,4,0,578,Book 578,Unknown
4,4,0,579,Book 579,Unknown
4,4,0,580,Book 580,Unknown
4,4,0,581,Book 581,Unknown
4,4,0,582,Book 582,Unknown
4,4,0,583,Book 583,Unknown
4,4,0,584,Book 584,Unknown
4,4,0,585,Book 585,Unknown
4,4,0,586,Book 586,Unknown
4,4,0,587,Book 587,Unknown
4,4,0,588,Book 588,Unknown
4,4,0,589,Book 589,Unknown
4,4,0,590,Book 590,Unknown
4,4,0,591,Book 591,Unknown
4,4,0,592,Book 592,Unknown
4,4,0,593,Book 593,Unknown
4,4,0,594,Book 594,Unknown
4,4,0,595,Book 595,Unknown
4,4,0,596,Book 596,Unknown
4,4,0,597,Book 597,Unknown
4,4,0,598,Book 598,Unknown
